
========== Training Begin ==========

** Initial learning rate: 0.000050 **

Epoch 5, Time 1.23409, Batch 0, Batch I/R Loss = 0.04321, Batch Direct Loss = 0.09603
Epoch 5, Time 0.43740, Batch 1, Batch I/R Loss = 0.04529, Batch Direct Loss = 0.09494
Epoch 5, Time 0.40616, Batch 2, Batch I/R Loss = 0.05460, Batch Direct Loss = 0.12272
Epoch 5, Time 0.45302, Batch 3, Batch I/R Loss = 0.01981, Batch Direct Loss = 0.03623
Epoch 5, Time 0.39053, Batch 4, Batch I/R Loss = 0.04497, Batch Direct Loss = 0.09929
Epoch 5, Time 0.40615, Batch 5, Batch I/R Loss = 0.02000, Batch Direct Loss = 0.04064
Epoch 5, Time 0.45302, Batch 6, Batch I/R Loss = 0.03240, Batch Direct Loss = 0.07282
Epoch 5, Time 0.42178, Batch 7, Batch I/R Loss = 0.03874, Batch Direct Loss = 0.07998
Epoch 5, Time 0.32805, Batch 8, Batch I/R Loss = 0.03367, Batch Direct Loss = 0.08209
Epoch 5, Time 0.31697, Batch 9, Batch I/R Loss = 0.04757, Batch Direct Loss = 0.11223
Epoch 5, Time 0.24834, Batch 10, Batch I/R Loss = 0.00489, Batch Direct Loss = 0.00893

Epoch 5, Time 5.19554, Average I/R Loss = 0.03501, Average Direct Loss = 0.07690

Epoch 6, Time 1.23071, Batch 0, Batch I/R Loss = 0.03526, Batch Direct Loss = 0.08004
Epoch 6, Time 0.46974, Batch 1, Batch I/R Loss = 0.00680, Batch Direct Loss = 0.01368
Epoch 6, Time 0.48271, Batch 2, Batch I/R Loss = 0.01209, Batch Direct Loss = 0.02934
Epoch 6, Time 0.32114, Batch 3, Batch I/R Loss = 0.06273, Batch Direct Loss = 0.13671
Epoch 6, Time 0.94547, Batch 4, Batch I/R Loss = 0.01879, Batch Direct Loss = 0.04111
Epoch 6, Time 0.33012, Batch 5, Batch I/R Loss = 0.02504, Batch Direct Loss = 0.05263
Epoch 6, Time 0.46775, Batch 6, Batch I/R Loss = 0.04702, Batch Direct Loss = 0.10462
Epoch 6, Time 0.36901, Batch 7, Batch I/R Loss = 0.04095, Batch Direct Loss = 0.09626
Epoch 6, Time 0.31915, Batch 8, Batch I/R Loss = 0.03671, Batch Direct Loss = 0.07650
